ID,Sample ID,Site,Fieldtype,Crop,Group,Values
92,SXRP2,SX,Paddy,Rice,Total_CO2,882.289
93,SXRP3,SX,Paddy,Rice,Total_CO2,960.432
94,YLRP1,YL,Paddy,Rice,Total_CO2,871.92
95,YLRP2,YL,Paddy,Rice,Total_CO2,961.162
96,YLRP3,YL,Paddy,Rice,Total_CO2,1115.242
97,WZRP1,WZ,Paddy,Rice,Total_CO2,902.863
98,WZRP2,WZ,Paddy,Rice,Total_CO2,1223.524
99,WZRP3,WZ,Paddy,Rice,Total_CO2,843.443
100,JHRP1,JH,Paddy,Rice,Total_CO2,955.692
101,JHRP2,JH,Paddy,Rice,Total_CO2,484.977
102,JHRP3,JH,Paddy,Rice,Total_CO2,935.53
103,QYRP1,QY,Paddy,Rice,Total_CO2,1011.85
104,QYRP2,QY,Paddy,Rice,Total_CO2,868.603
105,QYRP3,QY,Paddy,Rice,Total_CO2,739.472
106,LDRP1,LD,Paddy,Rice,Total_CO2,385.741
107,LDRP2,LD,Paddy,Rice,Total_CO2,758.459
108,LDRP3,LD,Paddy,Rice,Total_CO2,842.319
109,YiYangRP1,YiYang,Paddy,Rice,Total_CO2,1355.874
110,YiYangRP2,YiYang,Paddy,Rice,Total_CO2,1246.362
111,YiYangRP3,YiYang,Paddy,Rice,Total_CO2,1062.159
112,HRRP1,HR,Paddy,Rice,Total_CO2,616.001
113,HRRP2,HR,Paddy,Rice,Total_CO2,639.448
114,HRRP3,HR,Paddy,Rice,Total_CO2,700.334
115,QJRP1,QJ,Paddy,Rice,Total_CO2,792.584
116,QJRP2,QJ,Paddy,Rice,Total_CO2,622.17
117,QJRP3,QJ,Paddy,Rice,Total_CO2,906.763
118,XGRP1,XG,Paddy,Rice,Total_CO2,1142.711
119,XGRP2,XG,Paddy,Rice,Total_CO2,896.95
120,XGRP3,XG,Paddy,Rice,Total_CO2,992.814
121,XYRP1,XY,Paddy,Rice,Total_CO2,1022.127
122,XYRP2,XY,Paddy,Rice,Total_CO2,1133.643
123,XYRP3,XY,Paddy,Rice,Total_CO2,1078.264
124,YYRP1,YY,Paddy,Rice,Total_CO2,1025.776
125,YYRP2,YY,Paddy,Rice,Total_CO2,754.418
126,YYRP3,YY,Paddy,Rice,Total_CO2,748.323
127,HDRP1,HD,Paddy,Rice,Total_CO2,982.025
128,HDRP2,HD,Paddy,Rice,Total_CO2,669.954
129,HDRP3,HD,Paddy,Rice,Total_CO2,762.707
130,QHDRP1,QHD,Paddy,Rice,Total_CO2,796.698
131,QHDRP2,QHD,Paddy,Rice,Total_CO2,958.306
132,QHDRP3,QHD,Paddy,Rice,Total_CO2,1003.057
133,PJRP1,PJ,Paddy,Rice,Total_CO2,890.993
134,PJRP2,PJ,Paddy,Rice,Total_CO2,820.504
135,PJRP3,PJ,Paddy,Rice,Total_CO2,236.555
136,SYSRP1,SYS,Paddy,Rice,Total_CO2,677.923
137,SYSRP2,SYS,Paddy,Rice,Total_CO2,405.047
138,SYSRP3,SYS,Paddy,Rice,Total_CO2,555.461
139,SPRP1,SP,Paddy,Rice,Total_CO2,750.908
140,SPRP2,SP,Paddy,Rice,Total_CO2,800.751
141,SPRP3,SP,Paddy,Rice,Total_CO2,372.277
142,DHRP1,DH,Paddy,Rice,Total_CO2,688.854
143,DHRP2,DH,Paddy,Rice,Total_CO2,818.165
144,DHRP3,DH,Paddy,Rice,Total_CO2,413.989
145,HLRP1,HL,Paddy,Rice,Total_CO2,735.59
146,HLRP2,HL,Paddy,Rice,Total_CO2,910.141
147,HLRP3,HL,Paddy,Rice,Total_CO2,810.312
148,HEBRP1,HEB,Paddy,Rice,Total_CO2,505.013
149,HEBRP2,HEB,Paddy,Rice,Total_CO2,447.859
150,HEBRP3,HEB,Paddy,Rice,Total_CO2,569.177
151,NJRP1,NJ,Paddy,Rice,Total_CO2,483.73
152,NJRP2,NJ,Paddy,Rice,Total_CO2,776.743
153,NJRP3,NJ,Paddy,Rice,Total_CO2,902.628
154,HMRP1,HM,Paddy,Rice,Total_CO2,800.022
155,HMRP2,HM,Paddy,Rice,Total_CO2,818.789
156,HMRP3,HM,Paddy,Rice,Total_CO2,714.683
157,SYRU1,SY,Upland,MangoOrchard,Straw_CO2,373.969
158,SYRU2,SY,Upland,Orchard,Straw_CO2,255.785
159,SYRU3,SY,Upland,Maize,Straw_CO2,390.463
160,HKRU1,HK,Upland,LitchiOrchard,Straw_CO2,336.133
161,HKRU2,HK,Upland,LitchiOrchard,Straw_CO2,163.476
162,HKRU3,HK,Upland,LitchiOrchard,Straw_CO2,137.415
163,SXRU1,SX,Upland,Saccharum,Straw_CO2,303.556
164,SXRU2,SX,Upland,Saccharum,Straw_CO2,335.008
165,SXRU3,SX,Upland,Saccharum,Straw_CO2,220.252
166,YLRU1,YL,Upland,Maize,Straw_CO2,119.242
167,YLRU2,YL,Upland,Maize,Straw_CO2,152.036
168,YLRU3,YL,Upland,Maize,Straw_CO2,178.247
169,WZRU1,WZ,Upland,Maize,Straw_CO2,98.195
170,WZRU2,WZ,Upland,Maize,Straw_CO2,130.575
171,WZRU3,WZ,Upland,Peanut,Straw_CO2,181.254
172,JHRU1,JH,Upland,Peanut,Straw_CO2,86.703
173,JHRU2,JH,Upland,Teabush,Straw_CO2,106.713
174,JHRU3,JH,Upland,Peanut,Straw_CO2,99.472
175,QYRU1,QY,Upland,Maize,Straw_CO2,313.064
176,QYRU2,QY,Upland,SweetPotato,Straw_CO2,295.698
177,QYRU3,QY,Upland,Maize,Straw_CO2,504.631
178,LDRU1,LD,Upland,Teabush,Straw_CO2,472.896
179,LDRU2,LD,Upland,Maize,Straw_CO2,484.87
180,LDRU3,LD,Upland,Vegetable,Straw_CO2,361.89
181,YiYangRU1,YiYang,Upland,Grape,Straw_CO2,296.375
182,YiYangRU2,YiYang,Upland,Grape,Straw_CO2,263.322
183,YiYangRU3,YiYang,Upland,Grape,Straw_CO2,299.22
184,HRRU1,HR,Upland,Cole,Straw_CO2,93.173
185,HRRU2,HR,Upland,Cole,Straw_CO2,94.712
186,HRRU3,HR,Upland,Cole,Straw_CO2,93.789
187,QJRU1,QJ,Upland,Wheat,Straw_CO2,160.593
188,QJRU2,QJ,Upland,Wheat,Straw_CO2,146.131
189,QJRU3,QJ,Upland,Wheat,Straw_CO2,187.745
190,XGRU1,XG,Upland,Cotton,Straw_CO2,333.916
191,XGRU2,XG,Upland,Wheat,Straw_CO2,230.684
192,XGRU3,XG,Upland,Wheat,Straw_CO2,315.543
193,XYRU1,XY,Upland,Maize,Straw_CO2,244.973
194,XYRU2,XY,Upland,Maize,Straw_CO2,270.1
195,XYRU3,XY,Upland,Maize,Straw_CO2,230.616
196,LHRU1,LH,Upland,Wheat,Straw_CO2,218.827
197,LHRU2,LH,Upland,Wheat,Straw_CO2,289.917
198,LHRU3,LH,Upland,Wheat,Straw_CO2,220.151
199,YYRU1,YY,Upland,Wheat,Straw_CO2,125.1
200,YYRU2,YY,Upland,Wheat,Straw_CO2,127.38
201,YYRU3,YY,Upland,Wheat,Straw_CO2,136.756
202,HDRU1,HD,Upland,Wheat,Straw_CO2,80.221
203,HDRU2,HD,Upland,Wheat,Straw_CO2,110.036
204,HDRU3,HD,Upland,Wheat,Straw_CO2,87.178
205,XJRU1,XJ,Upland,Wheat,Straw_CO2,81.317
206,XJRU2,XJ,Upland,Wheat,Straw_CO2,116.703
207,XJRU3,XJ,Upland,Wheat,Straw_CO2,55.841
208,BZRU1,BZ,Upland,Wheat,Straw_CO2,103.383
209,BZRU2,BZ,Upland,Wheat,Straw_CO2,113.19
210,BZRU3,BZ,Upland,Wheat,Straw_CO2,238.941
211,QHDRU1,QHD,Upland,Maize,Straw_CO2,376.58
212,QHDRU2,QHD,Upland,Maize,Straw_CO2,187.868
213,QHDRU3,QHD,Upland,Maize,Straw_CO2,112.053
214,PJRU1,PJ,Upland,Maize,Straw_CO2,143.354
215,PJRU2,PJ,Upland,Maize,Straw_CO2,106.82
216,PJRU3,PJ,Upland,Maize,Straw_CO2,152.708
217,SYSRU1,SYS,Upland,Maize,Straw_CO2,178.166
218,SYSRU2,SYS,Upland,Maize,Straw_CO2,182.171
219,SYSRU3,SYS,Upland,Maize,Straw_CO2,157.682
220,SPRU1,SP,Upland,Maize,Straw_CO2,308.158
221,SPRU2,SP,Upland,Maize,Straw_CO2,223.602
222,SPRU3,SP,Upland,Maize,Straw_CO2,215.197
223,DHRU1,DH,Upland,Maize,Straw_CO2,199.126
224,DHRU2,DH,Upland,Maize,Straw_CO2,336.739
225,DHRU3,DH,Upland,Maize,Straw_CO2,176.929
226,HLRU1,HL,Upland,Maize,Straw_CO2,157.233
227,HLRU2,HL,Upland,Maize,Straw_CO2,183.335
228,HLRU3,HL,Upland,Maize,Straw_CO2,100.689
229,HEBRU1,HEB,Upland,Maize,Straw_CO2,63.178
230,HEBRU2,HEB,Upland,Maize,Straw_CO2,85.667
231,HEBRU3,HEB,Upland,Maize,Straw_CO2,43.83
232,NJRU1,NJ,Upland,Maize,Straw_CO2,120.633
233,NJRU2,NJ,Upland,Maize,Straw_CO2,97.947
234,NJRU3,NJ,Upland,Maize,Straw_CO2,104.627
235,HMRU1,HM,Upland,Maize,Straw_CO2,109.664
236,HMRU2,HM,Upland,Maize,Straw_CO2,94.922
237,HMRU3,HM,Upland,Maize,Straw_CO2,99.58
238,MHRU1,MH,Upland,Soybean,Straw_CO2,165.312
239,MHRU2,MH,Upland,Soybean,Straw_CO2,119.249
240,MHRU3,MH,Upland,Soybean,Straw_CO2,143.735
241,SYRP1,SY,Paddy,Rice,Straw_CO2,120.818
242,SYRP2,SY,Paddy,Rice,Straw_CO2,112.849
243,SYRP3,SY,Paddy,Rice,Straw_CO2,135.718
244,HKRP1,HK,Paddy,Rice,Straw_CO2,94.652
245,HKRP2,HK,Paddy,Rice,Straw_CO2,131.794
246,HKRP3,HK,Paddy,Rice,Straw_CO2,268.825
247,SXRP1,SX,Paddy,Rice,Straw_CO2,101.975
248,SXRP2,SX,Paddy,Rice,Straw_CO2,138.766
249,SXRP3,SX,Paddy,Rice,Straw_CO2,131.447
250,YLRP1,YL,Paddy,Rice,Straw_CO2,77.338
251,YLRP2,YL,Paddy,Rice,Straw_CO2,61.907
252,YLRP3,YL,Paddy,Rice,Straw_CO2,112.697
253,WZRP1,WZ,Paddy,Rice,Straw_CO2,119.839
254,WZRP2,WZ,Paddy,Rice,Straw_CO2,161.078
255,WZRP3,WZ,Paddy,Rice,Straw_CO2,115.409
256,JHRP1,JH,Paddy,Rice,Straw_CO2,106.239
257,JHRP2,JH,Paddy,Rice,Straw_CO2,46.104
258,JHRP3,JH,Paddy,Rice,Straw_CO2,103.126
259,QYRP1,QY,Paddy,Rice,Straw_CO2,111.83
260,QYRP2,QY,Paddy,Rice,Straw_CO2,74.093
261,QYRP3,QY,Paddy,Rice,Straw_CO2,65.686
262,LDRP1,LD,Paddy,Rice,Straw_CO2,16.339
263,LDRP2,LD,Paddy,Rice,Straw_CO2,43.965
264,LDRP3,LD,Paddy,Rice,Straw_CO2,52.36
265,YiYangRP1,YiYang,Paddy,Rice,Straw_CO2,83.318
266,YiYangRP2,YiYang,Paddy,Rice,Straw_CO2,93.853
267,YiYangRP3,YiYang,Paddy,Rice,Straw_CO2,97.531
268,HRRP1,HR,Paddy,Rice,Straw_CO2,58.528
269,HRRP2,HR,Paddy,Rice,Straw_CO2,33.814
270,HRRP3,HR,Paddy,Rice,Straw_CO2,35.784
271,QJRP1,QJ,Paddy,Rice,Straw_CO2,53.986
272,QJRP2,QJ,Paddy,Rice,Straw_CO2,63.76
273,QJRP3,QJ,Paddy,Rice,Straw_CO2,96.481
274,XGRP1,XG,Paddy,Rice,Straw_CO2,112.974
275,XGRP2,XG,Paddy,Rice,Straw_CO2,88.632
276,XGRP3,XG,Paddy,Rice,Straw_CO2,131.18
277,XYRP1,XY,Paddy,Rice,Straw_CO2,117.464
278,XYRP2,XY,Paddy,Rice,Straw_CO2,102.396
279,XYRP3,XY,Paddy,Rice,Straw_CO2,102.985
280,YYRP1,YY,Paddy,Rice,Straw_CO2,82.372
281,YYRP2,YY,Paddy,Rice,Straw_CO2,107.125
282,YYRP3,YY,Paddy,Rice,Straw_CO2,97.595
283,HDRP1,HD,Paddy,Rice,Straw_CO2,74.64
284,HDRP2,HD,Paddy,Rice,Straw_CO2,74.091
285,HDRP3,HD,Paddy,Rice,Straw_CO2,70.362
286,QHDRP1,QHD,Paddy,Rice,Straw_CO2,81.819
287,QHDRP2,QHD,Paddy,Rice,Straw_CO2,144.728
288,QHDRP3,QHD,Paddy,Rice,Straw_CO2,144.123
289,PJRP1,PJ,Paddy,Rice,Straw_CO2,105.8
290,PJRP2,PJ,Paddy,Rice,Straw_CO2,62.141
291,PJRP3,PJ,Paddy,Rice,Straw_CO2,26.379
292,SYSRP1,SYS,Paddy,Rice,Straw_CO2,64.03
293,SYSRP2,SYS,Paddy,Rice,Straw_CO2,35.249
294,SYSRP3,SYS,Paddy,Rice,Straw_CO2,52.012
295,SPRP1,SP,Paddy,Rice,Straw_CO2,43.21
296,SPRP2,SP,Paddy,Rice,Straw_CO2,42.67
297,SPRP3,SP,Paddy,Rice,Straw_CO2,26.528
298,DHRP1,DH,Paddy,Rice,Straw_CO2,56.821
299,DHRP2,DH,Paddy,Rice,Straw_CO2,88.535
300,DHRP3,DH,Paddy,Rice,Straw_CO2,28.325
301,HLRP1,HL,Paddy,Rice,Straw_CO2,48.225
302,HLRP2,HL,Paddy,Rice,Straw_CO2,75.828
303,HLRP3,HL,Paddy,Rice,Straw_CO2,56.127
304,HEBRP1,HEB,Paddy,Rice,Straw_CO2,28.685
305,HEBRP2,HEB,Paddy,Rice,Straw_CO2,34.068
306,HEBRP3,HEB,Paddy,Rice,Straw_CO2,72.415
307,NJRP1,NJ,Paddy,Rice,Straw_CO2,31.155
308,NJRP2,NJ,Paddy,Rice,Straw_CO2,43.102
309,NJRP3,NJ,Paddy,Rice,Straw_CO2,88.804
310,HMRP1,HM,Paddy,Rice,Straw_CO2,67.331
311,HMRP2,HM,Paddy,Rice,Straw_CO2,60.961
312,HMRP3,HM,Paddy,Rice,Straw_CO2,62.331
313,SYRU1,SY,Upland,MangoOrchard,BR_CO2,284.2073006
314,SYRU2,SY,Upland,Orchard,BR_CO2,126.9252759
315,SYRU3,SY,Upland,Maize,BR_CO2,65.10341805
316,HKRU1,HK,Upland,LitchiOrchard,BR_CO2,90.45939386
317,HKRU2,HK,Upland,LitchiOrchard,BR_CO2,61.65983619
318,HKRU3,HK,Upland,LitchiOrchard,BR_CO2,82.80618313
319,SXRU1,SX,Upland,Saccharum,BR_CO2,49.97616017
320,SXRU2,SX,Upland,Saccharum,BR_CO2,47.97252304
321,SXRU3,SX,Upland,Saccharum,BR_CO2,125.7592056
322,YLRU1,YL,Upland,Maize,BR_CO2,56.6943015
323,YLRU2,YL,Upland,Maize,BR_CO2,141.986005
324,YLRU3,YL,Upland,Maize,BR_CO2,183.3680437
325,WZRU1,WZ,Upland,Maize,BR_CO2,38.11601936
326,WZRU2,WZ,Upland,Maize,BR_CO2,100.4301666
327,WZRU3,WZ,Upland,Peanut,BR_CO2,6.804513997
328,JHRU1,JH,Upland,Peanut,BR_CO2,207.572697
329,JHRU2,JH,Upland,Teabush,BR_CO2,296.3541666
330,JHRU3,JH,Upland,Peanut,BR_CO2,293.3241668
331,QYRU1,QY,Upland,Maize,BR_CO2,179.1407561
332,QYRU2,QY,Upland,SweetPotato,BR_CO2,144.6439592
333,QYRU3,QY,Upland,Maize,BR_CO2,74.630787
334,LDRU1,LD,Upland,Teabush,BR_CO2,138.8028683
335,LDRU2,LD,Upland,Maize,BR_CO2,82.96160293
336,LDRU3,LD,Upland,Vegetable,BR_CO2,49.15275481
337,YiYangRU1,YiYang,Upland,Grape,BR_CO2,174.4905231
338,YiYangRU2,YiYang,Upland,Grape,BR_CO2,186.0968893
339,YiYangRU3,YiYang,Upland,Grape,BR_CO2,163.0679029
340,HRRU1,HR,Upland,Cole,BR_CO2,60.65310675
341,HRRU2,HR,Upland,Cole,BR_CO2,81.22202041
342,HRRU3,HR,Upland,Cole,BR_CO2,76.57960077
343,QJRU1,QJ,Upland,Wheat,BR_CO2,136.8791504
344,QJRU2,QJ,Upland,Wheat,BR_CO2,96.38475502
345,QJRU3,QJ,Upland,Wheat,BR_CO2,250.8093409
346,XGRU1,XG,Upland,Cotton,BR_CO2,108.1176414
347,XGRU2,XG,Upland,Wheat,BR_CO2,155.0277585
348,XGRU3,XG,Upland,Wheat,BR_CO2,130.0880253
349,XYRU1,XY,Upland,Maize,BR_CO2,72.92252148
350,XYRU2,XY,Upland,Maize,BR_CO2,36.5279372
351,XYRU3,XY,Upland,Maize,BR_CO2,167.0412946
352,LHRU1,LH,Upland,Wheat,BR_CO2,310.7556817
353,LHRU2,LH,Upland,Wheat,BR_CO2,186.5064244
354,LHRU3,LH,Upland,Wheat,BR_CO2,367.3741482
355,YYRU1,YY,Upland,Wheat,BR_CO2,467.154422
356,YYRU2,YY,Upland,Wheat,BR_CO2,390.8517291
357,YYRU3,YY,Upland,Wheat,BR_CO2,122.4284536
358,HDRU1,HD,Upland,Wheat,BR_CO2,235.6474447
359,HDRU2,HD,Upland,Wheat,BR_CO2,225.2237405
360,HDRU3,HD,Upland,Wheat,BR_CO2,454.7783776
361,XJRU1,XJ,Upland,Wheat,BR_CO2,182.5340168
362,XJRU2,XJ,Upland,Wheat,BR_CO2,325.4922469
363,XJRU3,XJ,Upland,Wheat,BR_CO2,167.8330615
364,BZRU1,BZ,Upland,Wheat,BR_CO2,169.487386
365,BZRU2,BZ,Upland,Wheat,BR_CO2,135.8301128
366,BZRU3,BZ,Upland,Wheat,BR_CO2,218.5094451
367,QHDRU1,QHD,Upland,Maize,BR_CO2,65.05110804
368,QHDRU2,QHD,Upland,Maize,BR_CO2,88.53039416
369,QHDRU3,QHD,Upland,Maize,BR_CO2,90.89185144
370,PJRU1,PJ,Upland,Maize,BR_CO2,57.00985509
371,PJRU2,PJ,Upland,Maize,BR_CO2,52.74304717
372,PJRU3,PJ,Upland,Maize,BR_CO2,111.5889446
373,SYSRU1,SYS,Upland,Maize,BR_CO2,81.73770099
374,SYSRU2,SYS,Upland,Maize,BR_CO2,212.4881964
375,SYSRU3,SYS,Upland,Maize,BR_CO2,173.63794
376,SPRU1,SP,Upland,Maize,BR_CO2,33.91482989
377,SPRU2,SP,Upland,Maize,BR_CO2,109.6801857
378,SPRU3,SP,Upland,Maize,BR_CO2,106.3658059
379,DHRU1,DH,Upland,Maize,BR_CO2,153.3109872
380,DHRU2,DH,Upland,Maize,BR_CO2,91.9697455
381,DHRU3,DH,Upland,Maize,BR_CO2,137.848922
382,HLRU1,HL,Upland,Maize,BR_CO2,429.2343443
383,HLRU2,HL,Upland,Maize,BR_CO2,214.9425824
384,HLRU3,HL,Upland,Maize,BR_CO2,185.6306297
385,HEBRU1,HEB,Upland,Maize,BR_CO2,177.4341809
386,HEBRU2,HEB,Upland,Maize,BR_CO2,138.9535462
387,HEBRU3,HEB,Upland,Maize,BR_CO2,174.0894489
388,NJRU1,NJ,Upland,Maize,BR_CO2,256.7581672
389,NJRU2,NJ,Upland,Maize,BR_CO2,362.7195364
390,NJRU3,NJ,Upland,Maize,BR_CO2,342.8890965
391,HMRU1,HM,Upland,Maize,BR_CO2,194.5521552
392,HMRU2,HM,Upland,Maize,BR_CO2,135.7540073
393,HMRU3,HM,Upland,Maize,BR_CO2,214.3662255
394,MHRU1,MH,Upland,Soybean,BR_CO2,208.3517069
395,MHRU2,MH,Upland,Soybean,BR_CO2,163.9279425
396,MHRU3,MH,Upland,Soybean,BR_CO2,79.47896187
397,SYRP1,SY,Paddy,Rice,BR_CO2,167.4728158
398,SYRP2,SY,Paddy,Rice,BR_CO2,253.2109114
399,SYRP3,SY,Paddy,Rice,BR_CO2,218.7900826
400,HKRP1,HK,Paddy,Rice,BR_CO2,330.1056592
401,HKRP2,HK,Paddy,Rice,BR_CO2,413.0791602
402,HKRP3,HK,Paddy,Rice,BR_CO2,220.354489
403,SXRP1,SX,Paddy,Rice,BR_CO2,204.5085567
404,SXRP2,SX,Paddy,Rice,BR_CO2,169.4202084
405,SXRP3,SX,Paddy,Rice,BR_CO2,189.4388747
406,YLRP1,YL,Paddy,Rice,BR_CO2,420.7344935
407,YLRP2,YL,Paddy,Rice,BR_CO2,383.176685
408,YLRP3,YL,Paddy,Rice,BR_CO2,284.6388019
409,WZRP1,WZ,Paddy,Rice,BR_CO2,157.7864428
410,WZRP2,WZ,Paddy,Rice,BR_CO2,186.8826407
411,WZRP3,WZ,Paddy,Rice,BR_CO2,204.9079352
412,JHRP1,JH,Paddy,Rice,BR_CO2,240.9032904
413,JHRP2,JH,Paddy,Rice,BR_CO2,189.5223449
414,JHRP3,JH,Paddy,Rice,BR_CO2,121.7676221
415,QYRP1,QY,Paddy,Rice,BR_CO2,207.8931599
416,QYRP2,QY,Paddy,Rice,BR_CO2,159.0483895
417,QYRP3,QY,Paddy,Rice,BR_CO2,169.3982958
418,LDRP1,LD,Paddy,Rice,BR_CO2,40.22206793
419,LDRP2,LD,Paddy,Rice,BR_CO2,216.0654555
420,LDRP3,LD,Paddy,Rice,BR_CO2,131.8008495
421,YiYangRP1,YiYang,Paddy,Rice,BR_CO2,322.6529844
422,YiYangRP2,YiYang,Paddy,Rice,BR_CO2,161.2257101
423,YiYangRP3,YiYang,Paddy,Rice,BR_CO2,163.9257946
424,HRRP1,HR,Paddy,Rice,BR_CO2,224.3012912
425,HRRP2,HR,Paddy,Rice,BR_CO2,161.5203498
426,HRRP3,HR,Paddy,Rice,BR_CO2,34.79271558
427,QJRP1,QJ,Paddy,Rice,BR_CO2,141.5334391
428,QJRP2,QJ,Paddy,Rice,BR_CO2,115.66351
429,QJRP3,QJ,Paddy,Rice,BR_CO2,88.87832686
